,open,high,low,close,volume,BB-upper,BB-middle,BB-lower,ema5,ema20,sma50,sma200,sar,adx,macd,macdsignal,macdhist,mom,rsi,stoch_k,stoch_d,willr
168,3969.0400390625,4175.47998046875,3969.0400390625,4058.60009765625,2309968400,4297.02163638286,3736.49599609375,3175.9703558046394,3794.3515300025424,3703.325798702827,5014.952216796875,,2689.173969853816,38.99082297922821,-266.3264830208841,-473.50701093066107,207.18052790977697,1634.72998046875,52.67241736578935,91.41232349196969,88.69790599688969,-5.8830280894499465
169,4062.7900390625,4150.56005859375,3960.409912109375,4018.159912109375,1857648900,4206.2665765435895,3888.77197265625,3571.2773687689105,3868.954324038153,3733.309999979641,4956.152612304688,,2867.530691127608,36.999125775015834,-212.37822444067206,-421.28125363266327,208.9030291919912,1076.119873046875,52.03983506667716,89.21339630583134,91.67620813458943,-7.918543028290982
170,4026.18994140625,4163.18994140625,3692.39990234375,3856.699951171875,2686677500,4156.576513208483,3928.91396484375,3701.251416479017,3864.8695330827272,3745.061423902711,4896.574609375,,3024.484605848545,35.77048396709623,-180.57080250029867,-373.13916340619033,192.56836090589167,874.02001953125,49.484547537599525,72.78008462845487,84.46860147541861,-16.04546327033641
171,3858.340087890625,4156.89013671875,3857.0400390625,3985.2099609375,2051653800,4112.507289414759,3976.765966796875,3841.0246441789914,3904.983009034318,3767.9327131441196,4823.3878125,,3162.6040508029696,34.62960228831374,-143.3411600016052,-327.1795627252733,183.83840272366808,764.6298828125,51.524783589359416,63.65684818149526,75.21677637192714,-9.577044762084759
172,3972.8798828125,4029.320068359375,3710.02001953125,3921.409912109375,1866072400,4111.065365586865,3968.015966796875,3824.966568006886,3910.45864339267,3782.5495892360486,4749.8282080078125,,3284.149162362863,33.905679851845704,-117.62858176810187,-285.269366533839,167.64078476573712,433.5498046875,50.435695712013775,51.59903736290709,62.67865672428572,-14.275524057472966
173,3924.300048828125,4090.75,3856.0400390625,4052.72998046875,1788969800,4106.964748959072,3966.841943359375,3826.7191377596782,3957.8824224180303,3808.2810550677345,4682.589204101562,,3391.1088605355694,33.00516412175592,-85.66722776426104,-245.3489387799234,159.68171101566236,568.14990234375,52.6540180290066,61.51889740893001,58.92492765111077,-8.730254506824766
174,4078.360107421875,4101.52001953125,3749.0400390625,3895.610107421875,1835950300,4080.837579189725,3942.331982421875,3803.826385654025,3937.1249840859787,3816.598107672891,4618.3080078125,,3485.233394927551,32.42725854310097,-72.1837952377632,-210.71591007149135,138.53211483372814,638.830078125,49.78309074580852,55.702399838946995,56.27344487026135,-23.626681989819694
175,3891.179931640625,3891.780029296875,3618.580078125,3785.2099609375,1832757100,4107.615879985049,3928.033984375,3748.45208876495,3886.486643036486,3813.6087603647584,4556.0480078125,,3568.062985192495,32.195782352641935,-69.60409431418611,-182.4935469200303,112.88945260584418,129.219970703125,47.81049920434079,50.21841205313146,55.813236433669466,-36.95284319500091
176,3794.169921875,4000.1298828125,3792.25,3892.89990234375,1896542300,4080.623201425652,3909.57197265625,3738.5207438868483,3888.6243961389073,3821.1602976960908,4490.098603515625,,3618.580078125,31.53399786837203,-58.19910146343,-157.63465782871023,99.43555636528023,146.949951171875,49.896034686071324,43.63999133206818,49.85360107471553,-29.053795236218594
177,3895.14990234375,4078.5,3838.97998046875,3960.25,2059725000,4093.293549422908,3917.339990234375,3741.3864310458416,3912.499597425938,3834.4069360107487,4424.974599609375,,3618.580078125,30.600312124485676,-43.22767076774153,-134.7532604165165,91.52558964877497,-4.909912109375,51.20920220573183,52.83474227382487,48.897715219674815,-22.129117603500166
