,open,high,low,close,adjclose,volume,ticker
2001-11-22,5131.68017578125,5217.47021484375,4874.22998046875,4936.080078125,4936.080078125,346921100,^GDAXI
2001-11-29,4954.2001953125,5341.85986328125,4872.25,5271.2900390625,5271.2900390625,402578400,^GDAXI
2001-12-06,5277.18017578125,5297.89990234375,4947.81982421875,4966.0498046875,4966.0498046875,343978700,^GDAXI
2001-12-13,4957.10009765625,5115.7900390625,4901.0400390625,4934.14013671875,4934.14013671875,334766200,^GDAXI
2001-12-20,4930.0400390625,5117.1298828125,4877.56982421875,5117.1298828125,5117.1298828125,134879200,^GDAXI
2001-12-27,5110.22021484375,5288.22998046875,5107.35986328125,5270.2900390625,5270.2900390625,130637200,^GDAXI
2002-01-03,5291.60009765625,5352.16015625,5172.0400390625,5228.10986328125,5228.10986328125,449627400,^GDAXI
2002-01-10,5228.08984375,5270.43994140625,4974.580078125,5133.39990234375,5133.39990234375,404305500,^GDAXI
2002-01-17,5118.27001953125,5219.85009765625,5006.259765625,5170.43994140625,5170.43994140625,352535500,^GDAXI
2002-01-24,5168.52001953125,5205.6298828125,4980.7001953125,5107.60986328125,5107.60986328125,364802000,^GDAXI
2002-01-31,5109.47998046875,5165.97021484375,4730.7001953125,4862.6201171875,4862.6201171875,438270400,^GDAXI
2002-02-07,4850.39013671875,4992.60009765625,4806.77978515625,4973.77001953125,4973.77001953125,352029000,^GDAXI
2002-02-14,4967.509765625,4969.85986328125,4706.009765625,4850.72998046875,4850.72998046875,324423700,^GDAXI
2002-02-21,4846.669921875,5072.43017578125,4730.14990234375,5039.080078125,5039.080078125,367582600,^GDAXI
2002-02-28,5025.9599609375,5370.4501953125,5003.06005859375,5289.43017578125,5289.43017578125,416624500,^GDAXI
2002-03-07,5293.18017578125,5401.06005859375,5233.66015625,5276.8701171875,5276.8701171875,359587700,^GDAXI
2002-03-14,5270.85986328125,5467.31005859375,5253.16015625,5348.68017578125,5348.68017578125,458480700,^GDAXI
2002-03-21,5348.330078125,5424.52001953125,5289.93017578125,5397.2900390625,5397.2900390625,276419600,^GDAXI
2002-03-28,5379.64013671875,5379.64013671875,5211.740234375,5254.9501953125,5254.9501953125,182509600,^GDAXI
2002-04-04,5250.47998046875,5293.27978515625,5128.02001953125,5162.9599609375,5162.9599609375,295652000,^GDAXI
2002-04-11,5165.31005859375,5378.27001953125,5148.85009765625,5262.8798828125,5262.8798828125,323191600,^GDAXI
2002-04-18,5263.47998046875,5288.83984375,5012.85986328125,5054.41015625,5054.41015625,356463900,^GDAXI
2002-04-25,5064.7900390625,5097.85009765625,4929.35009765625,4964.56005859375,4964.56005859375,307966700,^GDAXI
2002-05-02,4958.77978515625,5028.58984375,4773.490234375,4966.47998046875,4966.47998046875,355996000,^GDAXI
2002-05-09,4961.02978515625,5101.1201171875,4832.85986328125,5047.4501953125,5047.4501953125,360115000,^GDAXI
2002-05-16,5057.9599609375,5126.330078125,4859.5400390625,4879.5,4879.5,358006700,^GDAXI
2002-05-23,4890.4599609375,5016.10986328125,4741.9501953125,4761.9599609375,4761.9599609375,298305800,^GDAXI
2002-05-30,4765.919921875,4859.009765625,4580.919921875,4657.52001953125,4657.52001953125,323595700,^GDAXI
2002-06-06,4630.43017578125,4686.1298828125,4441.64990234375,4470.14013671875,4470.14013671875,356647100,^GDAXI
2002-06-13,4464.93017578125,4503.7998046875,4199.85009765625,4245.68017578125,4245.68017578125,446674700,^GDAXI
2002-06-20,4244.240234375,4312.1201171875,3946.699951171875,4259.43017578125,4259.43017578125,734887200,^GDAXI
2002-06-27,4275.2900390625,4443.68994140625,4101.580078125,4258.6201171875,4258.6201171875,432763200,^GDAXI
2002-07-04,4268.22998046875,4483.02978515625,4039.22998046875,4118.5,4118.5,520470200,^GDAXI
2002-07-11,4121.02001953125,4249.77001953125,3825.5400390625,4100.75,4100.75,568626000,^GDAXI
2002-07-18,4092.9599609375,4092.9599609375,3265.9599609375,3520.4599609375,3520.4599609375,621195000,^GDAXI
2002-07-25,3526.2900390625,3945.3798828125,3368.2900390625,3606.449951171875,3606.449951171875,492817500,^GDAXI
2002-08-01,3601.7099609375,3679.260009765625,3235.3798828125,3679.260009765625,3679.260009765625,484737800,^GDAXI
2002-08-08,3682.739990234375,3760.860107421875,3542.06005859375,3665.739990234375,3665.739990234375,361710000,^GDAXI
2002-08-15,3665.669921875,3930.9599609375,3576.010009765625,3906.550048828125,3906.550048828125,397881600,^GDAXI
2002-08-22,3911.219970703125,3924.300048828125,3580.909912109375,3660.949951171875,3660.949951171875,315751600,^GDAXI
2002-08-29,3658.669921875,3720.5,3301.81005859375,3354.7099609375,3354.7099609375,390088800,^GDAXI
2002-09-05,3361.669921875,3615.590087890625,3352.10009765625,3421.8701171875,3421.8701171875,316483300,^GDAXI
2002-09-12,3406.580078125,3445.590087890625,3007.469970703125,3007.469970703125,3007.469970703125,429524700,^GDAXI
2002-09-19,3001.8798828125,3106.090087890625,2774.360107421875,3020.60009765625,3020.60009765625,663913900,^GDAXI
2002-09-26,3020.7099609375,3050.77001953125,2719.489990234375,2813.300048828125,2813.300048828125,453786200,^GDAXI
2002-10-03,2812.14990234375,2847.419921875,2519.300048828125,2733.18994140625,2733.18994140625,495639100,^GDAXI
2002-10-10,2731.840087890625,3187.27001953125,2714.409912109375,3172.4599609375,3172.4599609375,571652700,^GDAXI
2002-10-17,3172.340087890625,3299.010009765625,2983.639892578125,3090.010009765625,3090.010009765625,485153700,^GDAXI
2002-10-24,3089.7099609375,3235.659912109375,2999.60009765625,3152.85009765625,3152.85009765625,455532400,^GDAXI
2002-10-31,3152.18994140625,3443.489990234375,3056.219970703125,3155.659912109375,3155.659912109375,462271400,^GDAXI
2002-11-07,3157.909912109375,3191.669921875,2987.85009765625,3188.389892578125,3188.389892578125,451798500,^GDAXI
2002-11-14,3195.989990234375,3304.830078125,3117.02001953125,3304.6298828125,3304.6298828125,407766200,^GDAXI
2002-11-21,3302.679931640625,3376.989990234375,3148.93994140625,3360.760009765625,3360.760009765625,399641500,^GDAXI
2002-11-28,3361.06005859375,3476.830078125,3189.1201171875,3224.739990234375,3224.739990234375,512979300,^GDAXI
2002-12-05,3221.679931640625,3245.760009765625,3062.8701171875,3111.8798828125,3111.8798828125,409965500,^GDAXI
2002-12-12,3110.7900390625,3222.39990234375,2925.8701171875,2961.409912109375,2961.409912109375,444472400,^GDAXI
2002-12-19,2970.280029296875,3048.2900390625,2948.56005859375,3000.840087890625,3000.840087890625,204401200,^GDAXI
2002-12-26,2996.669921875,3105.0400390625,2836.010009765625,3105.0400390625,3105.0400390625,132867100,^GDAXI
2003-01-02,3098.889892578125,3157.25,2932.929931640625,3037.679931640625,3037.679931640625,433686600,^GDAXI
2003-01-09,3037.800048828125,3145.659912109375,2986.75,3054.110107421875,3054.110107421875,486329000,^GDAXI
2003-01-16,3047.110107421875,3047.110107421875,2765.56005859375,2811.219970703125,2811.219970703125,511280200,^GDAXI
2003-01-23,2813.1298828125,2827.429931640625,2563.919921875,2693.780029296875,2693.780029296875,589211200,^GDAXI
2003-01-30,2687.719970703125,2802.929931640625,2584.8798828125,2649.0,2649.0,475826700,^GDAXI
2003-02-06,2649.02001953125,2671.699951171875,2528.89990234375,2555.27001953125,2555.27001953125,450358900,^GDAXI
2003-02-13,2558.25,2750.080078125,2558.25,2591.260009765625,2591.260009765625,571005800,^GDAXI
2003-02-20,2591.679931640625,2648.8701171875,2433.14990234375,2513.219970703125,2513.219970703125,580815900,^GDAXI
2003-02-27,2508.889892578125,2600.760009765625,2433.320068359375,2437.510009765625,2437.510009765625,435729400,^GDAXI
2003-03-06,2433.719970703125,2467.570068359375,2188.75,2354.31005859375,2354.31005859375,579605100,^GDAXI
2003-03-13,2356.360107421875,2675.02001953125,2327.8701171875,2604.85009765625,2604.85009765625,764905100,^GDAXI
2003-03-20,2607.699951171875,2731.570068359375,2481.7099609375,2584.050048828125,2584.050048828125,683189500,^GDAXI
2003-03-27,2580.9599609375,2644.9599609375,2395.719970703125,2569.81005859375,2569.81005859375,474993800,^GDAXI
2003-04-03,2573.159912109375,2824.989990234375,2553.669921875,2697.10009765625,2697.10009765625,571844900,^GDAXI
2003-04-10,2700.610107421875,2915.68994140625,2700.330078125,2899.780029296875,2899.780029296875,502418800,^GDAXI
2003-04-17,2898.360107421875,3000.760009765625,2843.800048828125,2891.6201171875,2891.6201171875,315129800,^GDAXI
2003-04-24,2892.4599609375,3004.7900390625,2821.35009765625,2942.0400390625,2942.0400390625,438457600,^GDAXI
2003-05-01,2938.719970703125,3068.080078125,2884.510009765625,2886.080078125,2886.080078125,533961300,^GDAXI
2003-05-08,2892.6298828125,2989.3798828125,2861.699951171875,2989.3798828125,2989.3798828125,480226900,^GDAXI
2003-05-15,2987.449951171875,3029.489990234375,2773.77001953125,2865.2099609375,2865.2099609375,524604500,^GDAXI
2003-05-22,2867.10009765625,2968.429931640625,2769.449951171875,2906.7099609375,2906.7099609375,381235500,^GDAXI
2003-05-29,2907.72998046875,3106.27001953125,2906.419921875,3039.760009765625,3039.760009765625,537144000,^GDAXI
2003-06-05,3054.989990234375,3253.699951171875,3054.989990234375,3219.469970703125,3219.469970703125,546456900,^GDAXI
2003-06-12,3220.820068359375,3324.43994140625,3122.39990234375,3247.110107421875,3247.110107421875,521358700,^GDAXI
2003-06-19,3237.22998046875,3267.669921875,3157.699951171875,3241.219970703125,3241.219970703125,597763500,^GDAXI
2003-06-26,3251.8701171875,3271.31005859375,3119.35009765625,3241.919921875,3241.919921875,472526800,^GDAXI
2003-07-03,3237.800048828125,3363.429931640625,3213.610107421875,3269.840087890625,3269.840087890625,598409700,^GDAXI
2003-07-10,3264.580078125,3430.760009765625,3245.449951171875,3330.679931640625,3330.679931640625,493594600,^GDAXI
2003-07-17,3328.909912109375,3390.610107421875,3254.18994140625,3374.820068359375,3374.820068359375,462437500,^GDAXI
2003-07-24,3367.7099609375,3487.860107421875,3313.56005859375,3487.860107421875,3487.860107421875,442059900,^GDAXI
2003-07-31,3481.81005859375,3481.81005859375,3299.77001953125,3331.889892578125,3331.889892578125,451606600,^GDAXI
2003-08-07,3339.8701171875,3452.699951171875,3309.219970703125,3452.699951171875,3452.699951171875,405043800,^GDAXI
2003-08-14,3449.56005859375,3565.469970703125,3434.22998046875,3565.469970703125,3565.469970703125,432457000,^GDAXI
2003-08-21,3563.300048828125,3588.530029296875,3438.860107421875,3492.669921875,3492.669921875,396232000,^GDAXI
