,open,high,low,close,volume,intra-diff,inter-diff,intra-derivative,inter-derivative,1-rad,1-err,3-rad,3-err,5-rad,5-err,20-rad,20-err,BB-upper,BB-middle,BB-lower,ema5,ema20,sma50,sma200,sar,adx,macd,macdsignal,macdhist,mom,rsi,stoch_k,stoch_d,willr
5777,9847.6396484375,9899.8603515625,9773.7197265625,9795.8896484375,93387300.0,-0.5255066376053986,-1.4818204282357619,-3.638671875,-13.60546875,-1.535273489435994,1.528417942071061,1.306158755308742,1.3691337439672506,1.514125965218264,1.3352241399076226,-1.2318146183788272,0.8463441457440402,10003.470214205337,9888.8662109375,9774.262207669663,9886.390259456619,9969.75368464187,9954.83841796875,10152.819453125,9750.595058984376,16.34449207165839,-30.770037711628902,0.5633393283311152,-31.333377039960016,-32.3603515625,42.65433255827445,33.708965878231645,41.368493592865185,-88.5668945590226
5778,9878.490234375,9921.58984375,9852.7099609375,9916.01953125,78255500.0,0.37990923698447565,1.2263294823013997,22.6834716796875,23.2001953125,1.3458764730704222,1.5139055418773606,1.3572425735729017,1.451283228158297,1.529930007497842,1.3266675488198894,-1.3939954806853918,0.8432786656924547,10012.28184957263,9899.64609375,9787.01033792737,9896.266683387747,9964.636146223596,9959.30240234375,10144.218051757813,9757.18934921094,16.451946272446605,-30.483366216403738,-5.646001780615856,-24.837364435787883,64.1591796875,47.90085766485092,37.48965712725585,40.03749547776944,-57.059399493096834
5779,9891.3798828125,9971.740234375,9811.740234375,9842.2900390625,76899500.0,-0.4962891359101443,-0.743539198920938,1.59130859375,70.64501953125,-1.5382630923002656,1.5390320696324742,1.541646139328524,1.4698413049769796,1.5334912872730464,1.3123621550861615,-1.4392929238636143,0.8078337612066291,9982.843665522907,9877.5240234375,9772.204381352092,9878.274468612664,9952.984136017778,9961.68640625,10135.50400390625,9763.65175363297,16.10958638386885,-35.79293218562634,-11.675387861617953,-24.11754432400839,-27.66015625,45.16942452779997,26.2393824848661,32.47933516345142,-71.53782391079386
5780,9798.9404296875,10077.650390625,9773.7998046875,10057.3095703125,85241400.0,2.636704881297454,2.1846494098083,134.8697509765625,181.4599609375,1.5495796595709943,1.5587093114242934,1.5443928192826917,1.4580534067879365,1.5240453016517148,1.3099813076971858,-1.4532660492589213,0.7583701467800337,10090.81875492697,9910.9478515625,9731.07694819803,9937.952835845943,9962.919891664895,9972.86958984375,10128.336401367187,9769.98490996656,14.977196750918292,-22.39239668076516,-13.818789625447394,-8.573607055317765,76.8193359375,53.49750463355994,54.359354980156276,39.362798197426294,-13.413391480644549
5781,10143.3701171875,10233.0595703125,10130.6796875,10205.2099609375,97691100.0,0.6096577669507994,1.4705760978221978,35.9874267578125,107.7001953125,1.4510918223583145,1.5326478593785906,1.4813819625735112,1.2691340034821454,1.4422123831863942,1.0498266759706492,-1.4596966806813363,0.7159858736517847,10263.027981313475,9963.34375,9663.659518686525,10027.038544209796,9985.995136357524,9980.35119140625,10121.338549804688,9773.7998046875,14.953728006305196,0.1601041399189853,-11.023010872374119,11.183115012293104,159.76953125,58.200448600501275,69.86997917531428,50.15623888011243,-5.614166330357407
5782,10213.8701171875,10286.23046875,10207.08984375,10272.7099609375,74689600.0,0.5760778536921731,0.6614268619496303,31.95751953125,40.5498046875,1.4684633963115612,1.523158766836255,1.4504565277285535,1.1842773461125198,-0.49999022435276763,1.1277963968548952,-1.4483418738057343,0.7634077788124565,10386.68141190041,10058.7078125,9730.734213099591,10108.929016452365,10013.301310127044,9986.0001953125,10116.23384765625,9773.7998046875,15.239699610167975,23.21223322575497,-4.175962052748301,27.38819527850327,297.3896484375,60.17977054488642,94.8686484731961,73.03266087622244,-2.461718455509484
5783,10257.91015625,10298.759765625,10241.98046875,10286.3095703125,62475500.0,0.27685379994478343,0.13238580108572326,17.7471923828125,30.26025390625,1.2324494881616466,1.499810325002007,1.239907607556989,1.3019281154753855,-1.4050544284796558,1.0889889576234033,-1.4195681421041229,0.8310707095775998,10465.605751002504,10132.7658203125,9799.925889622495,10168.055867739076,10039.302096811374,9993.04939453125,10113.04234375,9804.54564453125,15.578464751001816,42.09336037162757,5.077902432126874,37.01545793950069,424.189453125,60.58473473111133,96.30896150742967,87.01586305198025,-2.3454675573396817
5784,10293.4296875,10338.41015625,10286.330078125,10333.23046875,35396900.0,0.3866620014739378,0.4561490019017047,21.435302734375,-11.78466796875,1.4233352739758975,1.4987996182026881,-1.4881929373677176,1.3198494784601482,-1.4763525834326083,1.145109927988164,-1.440371261386864,0.8595255379669795,10422.961029049262,10230.95390625,10038.94678345074,10223.11406807605,10067.295275091243,10000.04580078125,10109.635346679688,9844.08277421875,16.12923158321066,60.149547493789214,16.09223144445934,44.05731604932987,380.330078125,62.01987330201767,98.02415233406852,96.40058743823165,-0.9079688647479035
5785,10356.1396484375,10365.240234375,10243.2197265625,10262.740234375,91591200.0,-0.9018748030941413,-0.6821703492260066,-19.772216796875,-64.39501953125,-1.5459393544345184,1.519163707219114,-1.500667876937988,1.3077042299918782,-1.4841800037314952,1.1360678318079835,-1.4517798605318988,0.8756689677842331,10354.507403333166,10272.0400390625,10189.572674791834,10236.3227901757,10085.909080737314,10007.4566015625,10106.023349609375,9893.515512421875,16.23420089538683,67.98751531749076,26.471288219065624,41.516227098425134,372.5498046875,58.569634046931384,84.3374077772412,92.89017387291335,-17.160561445960415
5786,10242.7802734375,10283.8203125,10160.240234375,10204.4404296875,79532000.0,-0.3743109070632545,-0.5680724967803928,1.070068359375,-27.3701171875,-1.528909623701147,1.5282860783822025,-1.4674194145860566,1.3917398963432115,-1.0051007648420445,1.243073330445064,-1.4537712118882096,0.8769916407299442,10354.853172638792,10271.8861328125,10188.919092986209,10225.695336679633,10097.197780637332,10012.5294140625,10102.343901367187,9950.12247905625,15.598197514173213,68.7028901294525,34.917608601143,33.7852815283095,261.2099609375,55.80453519954076,58.98164695434289,80.44773568855109,-26.921121256958806
